"year","zone","group","gender","stage","measure","value"
"2011-2012","S01001791","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001791","All","All","S4","Ratio",100
"2009-2010","S01001791","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001791","All","All","S4","Ratio",100
"2004-2005","S01001791","All","All","S4","Ratio",100
"2002-2003","S01001791","All","All","S4","Ratio",100
"2005-2006","S01001791","All","All","S4","Ratio",100
"2003-2004","S01001791","All","All","S4","Ratio",100
"2006-2007","S01001791","All","All","S4","Ratio",100
"2007-2008","S01001791","All","All","S4","Ratio",100
"2008-2009","S01001791","All","All","S4","Ratio",100
"2010-2011","S01001791","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001791","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001791","All","All","S4","Ratio",100
"2003-2004","S01001791","All","All","S4","Count",10
"2004-2005","S01001791","All","All","S4","Count",12
"2005-2006","S01001791","All","All","S4","Count",6
"2006-2007","S01001791","All","All","S4","Count",13
"2007-2008","S01001791","All","All","S4","Count",7
"2008-2009","S01001791","All","All","S4","Count",10
"2009-2010","S01001791","All","All","S4","Count",10
"2011-2012","S01001791","All","All","S4","Count",15
"2012-2013","S01001791","All","All","S4","Count",10
"2002-2003","S01001791","All","All","S4","Count",12
"2010-2011","S01001791","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001791","All","Male","S4","Count",0
"2009-2010","S01001791","All","Male","S4","Count",5
"2012-2013","S01001791","All","Male","S4","Ratio",100
"2009-2010","S01001791","All","Male","S4","Ratio",100
"2011-2012","S01001791","All","Male","S4","Count",6
"2010-2011","S01001791","All","Male","S4","Ratio",0
"2012-2013","S01001791","All","Male","S4","Count",3
"2008-2009","S01001791","All","Male","S4","Ratio",100
"2011-2012","S01001791","All","Male","S4","Ratio",100
"2008-2009","S01001791","All","Male","S4","Count",2
"2010-2011","S01001791","All","Female","S4","Count",6
"2011-2012","S01001791","All","Female","S4","Ratio",100
"2008-2009","S01001791","All","Female","S4","Ratio",100
"2012-2013","S01001791","All","Female","S4","Ratio",100
"2008-2009","S01001791","All","Female","S4","Count",8
"2009-2010","S01001791","All","Female","S4","Count",5
"2011-2012","S01001791","All","Female","S4","Count",9
"2009-2010","S01001791","All","Female","S4","Ratio",100
"2012-2013","S01001791","All","Female","S4","Count",7
"2010-2011","S01001791","All","Female","S4","Ratio",100
"2008-2009","S01001792","All","All","S4","Count",15
"2009-2010","S01001792","All","All","S4","Count",7
"2011-2012","S01001792","All","All","S4","Count",6
"2012-2013","S01001792","All","All","S4","Count",5
"2002-2003","S01001792","All","All","S4","Count",14
"2010-2011","S01001792","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001792","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001792","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001792","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001792","Additional Support Needs","All","S4","Count",0
"2003-2004","S01001792","All","All","S4","Count",15
"2004-2005","S01001792","All","All","S4","Count",10
"2005-2006","S01001792","All","All","S4","Count",7
"2006-2007","S01001792","All","All","S4","Count",10
"2007-2008","S01001792","All","All","S4","Count",6
"2010-2011","S01001792","All","Male","S4","Count",7
"2011-2012","S01001792","All","Male","S4","Count",1
"2009-2010","S01001792","All","Male","S4","Count",3
"2008-2009","S01001792","All","Male","S4","Count",9
"2012-2013","S01001792","All","Male","S4","Count",4
"2010-2011","S01001792","All","Female","S4","Count",2
"2012-2013","S01001792","All","Female","S4","Count",1
"2008-2009","S01001792","All","Female","S4","Count",6
"2011-2012","S01001792","All","Female","S4","Count",5
"2009-2010","S01001792","All","Female","S4","Count",4
"2010-2011","S01001792","All","All","S4","Count",9
"2010-2011","S01001792","All","All","S4","Ratio",100
"2012-2013","S01001792","All","Female","S4","Ratio",100
"2005-2006","S01001792","All","All","S4","Ratio","87.5"
"2008-2009","S01001792","All","All","S4","Ratio",100
"2008-2009","S01001792","All","Male","S4","Ratio",100
"2009-2010","S01001792","All","All","S4","Ratio",100
"2006-2007","S01001792","All","All","S4","Ratio","90.9"
"2011-2012","S01001792","All","All","S4","Ratio",100
"2011-2012","S01001792","All","Female","S4","Ratio",100
"2012-2013","S01001792","All","All","S4","Ratio",100
"2007-2008","S01001792","All","All","S4","Ratio",100
"2002-2003","S01001792","All","All","S4","Ratio",100
"2003-2004","S01001792","All","All","S4","Ratio",100
"2010-2011","S01001792","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001792","All","Female","S4","Ratio",100
"2011-2012","S01001792","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001792","All","Female","S4","Ratio",100
"2008-2009","S01001792","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001792","All","Male","S4","Ratio",100
"2009-2010","S01001792","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001792","All","Male","S4","Ratio",100
"2009-2010","S01001792","All","Female","S4","Ratio",100
"2010-2011","S01001792","All","Male","S4","Ratio",100
"2004-2005","S01001792","All","All","S4","Ratio",100
"2012-2013","S01001792","All","Male","S4","Ratio",100
"2008-2009","S01001793","All","All","S4","Count",9
"2009-2010","S01001793","All","All","S4","Count",10
"2011-2012","S01001793","All","All","S4","Count",11
"2012-2013","S01001793","All","All","S4","Count",7
"2002-2003","S01001793","All","All","S4","Count",17
"2010-2011","S01001793","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001793","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001793","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001793","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001793","Additional Support Needs","All","S4","Count",0
"2003-2004","S01001793","All","All","S4","Count",15
"2004-2005","S01001793","All","All","S4","Count",19
"2005-2006","S01001793","All","All","S4","Count",12
"2006-2007","S01001793","All","All","S4","Count",6
"2007-2008","S01001793","All","All","S4","Count",5
"2010-2011","S01001793","All","Male","S4","Count",4
"2011-2012","S01001793","All","Male","S4","Count",6
"2009-2010","S01001793","All","Male","S4","Count",5
"2008-2009","S01001793","All","Male","S4","Count",4
"2012-2013","S01001793","All","Male","S4","Count",4
"2010-2011","S01001793","All","Female","S4","Count",2
"2012-2013","S01001793","All","Female","S4","Count",3
"2008-2009","S01001793","All","Female","S4","Count",5
"2011-2012","S01001793","All","Female","S4","Count",5
"2009-2010","S01001793","All","Female","S4","Count",5
"2010-2011","S01001793","All","All","S4","Count",6
"2010-2011","S01001793","All","All","S4","Ratio",100
"2012-2013","S01001793","All","Female","S4","Ratio",100
"2005-2006","S01001793","All","All","S4","Ratio",100
"2008-2009","S01001793","All","All","S4","Ratio",90
"2008-2009","S01001793","All","Male","S4","Ratio",100
"2009-2010","S01001793","All","All","S4","Ratio","90.9"
"2006-2007","S01001793","All","All","S4","Ratio","85.7"
"2011-2012","S01001793","All","All","S4","Ratio",100
"2011-2012","S01001793","All","Female","S4","Ratio",100
"2012-2013","S01001793","All","All","S4","Ratio",100
"2007-2008","S01001793","All","All","S4","Ratio","83.3"
"2002-2003","S01001793","All","All","S4","Ratio",100
"2003-2004","S01001793","All","All","S4","Ratio",100
"2010-2011","S01001793","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001793","All","Female","S4","Ratio","83.3"
"2011-2012","S01001793","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001793","All","Female","S4","Ratio",100
"2008-2009","S01001793","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001793","All","Male","S4","Ratio",100
"2009-2010","S01001793","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001793","All","Male","S4","Ratio",100
"2009-2010","S01001793","All","Female","S4","Ratio","83.3"
"2010-2011","S01001793","All","Male","S4","Ratio",100
"2004-2005","S01001793","All","All","S4","Ratio",100
"2012-2013","S01001793","All","Male","S4","Ratio",100
"2009-2010","S01001794","All","All","S4","Count",12
"2010-2011","S01001794","All","All","S4","Count",5
"2011-2012","S01001794","All","All","S4","Count",8
"2007-2008","S01001794","All","All","S4","Count",6
"2008-2009","S01001794","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001794","Additional Support Needs","All","S4","Count",2
"2006-2007","S01001794","All","All","S4","Count",11
"2011-2012","S01001794","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001794","All","All","S4","Ratio",100
"2003-2004","S01001794","All","All","S4","Ratio",100
"2004-2005","S01001794","All","All","S4","Ratio","94.1"
"2005-2006","S01001794","All","All","S4","Ratio",90
"2006-2007","S01001794","All","All","S4","Ratio",100
"2007-2008","S01001794","All","All","S4","Ratio",100
"2008-2009","S01001794","All","All","S4","Ratio","90.9"
"2009-2010","S01001794","All","All","S4","Ratio","92.3"
"2011-2012","S01001794","All","All","S4","Ratio","88.9"
"2012-2013","S01001794","All","All","S4","Ratio",100
"2002-2003","S01001794","All","All","S4","Ratio",100
"2010-2011","S01001794","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001794","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001794","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001794","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001794","Additional Support Needs","All","S4","Ratio",0
"2003-2004","S01001794","All","All","S4","Count",14
"2012-2013","S01001794","All","All","S4","Count",16
"2008-2009","S01001794","All","All","S4","Count",10
"2004-2005","S01001794","All","All","S4","Count",16
"2002-2003","S01001794","All","All","S4","Count",11
"2005-2006","S01001794","All","All","S4","Count",9
"2010-2011","S01001794","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001794","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001794","All","Male","S4","Count",5
"2010-2011","S01001794","All","Male","S4","Count",4
"2012-2013","S01001794","All","Male","S4","Count",12
"2009-2010","S01001794","All","Male","S4","Count",7
"2008-2009","S01001794","All","Male","S4","Ratio","85.7"
"2010-2011","S01001794","All","Male","S4","Ratio",100
"2008-2009","S01001794","All","Male","S4","Count",6
"2009-2010","S01001794","All","Male","S4","Ratio","87.5"
"2012-2013","S01001794","All","Male","S4","Ratio",100
"2011-2012","S01001794","All","Male","S4","Ratio","83.3"
"2009-2010","S01001794","All","Female","S4","Count",5
"2011-2012","S01001794","All","Female","S4","Ratio",100
"2011-2012","S01001794","All","Female","S4","Count",3
"2010-2011","S01001794","All","Female","S4","Count",1
"2008-2009","S01001794","All","Female","S4","Count",4
"2009-2010","S01001794","All","Female","S4","Ratio",100
"2012-2013","S01001794","All","Female","S4","Ratio",100
"2008-2009","S01001794","All","Female","S4","Ratio",100
"2012-2013","S01001794","All","Female","S4","Count",4
"2010-2011","S01001794","All","Female","S4","Ratio",100
"2008-2009","S01001795","Additional Support Needs","All","S4","Count",0
"2006-2007","S01001795","All","All","S4","Count",1
"2003-2004","S01001795","All","All","S4","Count",1
"2011-2012","S01001795","All","All","S4","Count",6
"2010-2011","S01001795","All","All","S4","Count",5
"2010-2011","S01001795","All","Male","S4","Count",2
"2005-2006","S01001795","All","All","S4","Count",7
"2008-2009","S01001795","All","Male","S4","Count",0
"2010-2011","S01001795","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001795","All","Male","S4","Count",2
"2012-2013","S01001795","Additional Support Needs","All","S4","Count",1
"2011-2012","S01001795","All","Male","S4","Count",1
"2012-2013","S01001795","All","All","S4","Count",5
"2002-2003","S01001795","All","All","S4","Count",1
"2012-2013","S01001795","All","Male","S4","Count",3
"2008-2009","S01001795","All","All","S4","Count",3
"2012-2013","S01001795","All","Female","S4","Count",2
"2007-2008","S01001795","All","All","S4","Count",4
"2011-2012","S01001795","All","Female","S4","Count",5
"2009-2010","S01001795","All","Female","S4","Count",1
"2009-2010","S01001795","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001795","All","Female","S4","Count",3
"2011-2012","S01001795","Additional Support Needs","All","S4","Count",1
"2010-2011","S01001795","All","Female","S4","Count",3
"2009-2010","S01001795","All","All","S4","Count",3
"2005-2006","S01001795","All","All","S4","Ratio",100
"2009-2010","S01001795","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001795","All","All","S4","Ratio",100
"2006-2007","S01001795","All","All","S4","Ratio",100
"2010-2011","S01001795","Additional Support Needs","All","S4","Ratio",0
"2007-2008","S01001795","All","All","S4","Ratio",100
"2008-2009","S01001795","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001795","All","All","S4","Ratio",100
"2012-2013","S01001795","Additional Support Needs","All","S4","Ratio",100
"2002-2003","S01001795","All","All","S4","Ratio",100
"2008-2009","S01001795","All","All","S4","Ratio",100
"2011-2012","S01001795","Additional Support Needs","All","S4","Ratio",100
"2009-2010","S01001795","All","All","S4","Ratio",100
"2003-2004","S01001795","All","All","S4","Ratio",100
"2011-2012","S01001795","All","All","S4","Ratio","85.7"
"2010-2011","S01001795","All","Male","S4","Ratio",100
"2008-2009","S01001795","All","Male","S4","Ratio",0
"2009-2010","S01001795","All","Male","S4","Ratio",100
"2011-2012","S01001795","All","Male","S4","Ratio",100
"2012-2013","S01001795","All","Male","S4","Ratio",100
"2012-2013","S01001795","All","Female","S4","Ratio",100
"2011-2012","S01001795","All","Female","S4","Ratio","83.3"
"2009-2010","S01001795","All","Female","S4","Ratio",100
"2008-2009","S01001795","All","Female","S4","Ratio",100
"2010-2011","S01001795","All","Female","S4","Ratio",100
"2008-2009","S01001796","All","All","S4","Count",13
"2009-2010","S01001796","All","All","S4","Count",14
"2011-2012","S01001796","All","All","S4","Count",7
"2012-2013","S01001796","All","All","S4","Count",5
"2002-2003","S01001796","All","All","S4","Count",12
"2010-2011","S01001796","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001796","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001796","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001796","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001796","Additional Support Needs","All","S4","Count",1
"2003-2004","S01001796","All","All","S4","Count",10
"2004-2005","S01001796","All","All","S4","Count",10
"2005-2006","S01001796","All","All","S4","Count",12
"2006-2007","S01001796","All","All","S4","Count",7
"2007-2008","S01001796","All","All","S4","Count",13
"2010-2011","S01001796","All","Male","S4","Count",1
"2011-2012","S01001796","All","Male","S4","Count",3
"2009-2010","S01001796","All","Male","S4","Count",8
"2008-2009","S01001796","All","Male","S4","Count",6
"2012-2013","S01001796","All","Male","S4","Count",2
"2010-2011","S01001796","All","Female","S4","Count",7
"2012-2013","S01001796","All","Female","S4","Count",3
"2008-2009","S01001796","All","Female","S4","Count",7
"2011-2012","S01001796","All","Female","S4","Count",4
"2009-2010","S01001796","All","Female","S4","Count",6
"2010-2011","S01001796","All","All","S4","Count",8
"2010-2011","S01001796","All","All","S4","Ratio",100
"2012-2013","S01001796","All","Female","S4","Ratio",100
"2005-2006","S01001796","All","All","S4","Ratio","92.3"
"2008-2009","S01001796","All","All","S4","Ratio","92.9"
"2008-2009","S01001796","All","Male","S4","Ratio",100
"2009-2010","S01001796","All","All","S4","Ratio",100
"2006-2007","S01001796","All","All","S4","Ratio",100
"2011-2012","S01001796","All","All","S4","Ratio",100
"2011-2012","S01001796","All","Female","S4","Ratio",100
"2012-2013","S01001796","All","All","S4","Ratio",100
"2007-2008","S01001796","All","All","S4","Ratio","92.9"
"2002-2003","S01001796","All","All","S4","Ratio",100
"2003-2004","S01001796","All","All","S4","Ratio",100
"2010-2011","S01001796","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001796","All","Female","S4","Ratio","87.5"
"2011-2012","S01001796","Additional Support Needs","All","S4","Ratio",100
"2010-2011","S01001796","All","Female","S4","Ratio",100
"2008-2009","S01001796","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001796","All","Male","S4","Ratio",100
"2009-2010","S01001796","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001796","All","Male","S4","Ratio",100
"2009-2010","S01001796","All","Female","S4","Ratio",100
"2010-2011","S01001796","All","Male","S4","Ratio",100
"2004-2005","S01001796","All","All","S4","Ratio",100
"2012-2013","S01001796","All","Male","S4","Ratio",100
"2010-2011","S01001797","All","Male","S4","Count",2
"2010-2011","S01001797","All","Female","S4","Ratio",75
"2010-2011","S01001797","All","Male","S4","Ratio",100
"2010-2011","S01001797","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001797","All","All","S4","Ratio","83.3"
"2010-2011","S01001797","All","Female","S4","Count",3
"2010-2011","S01001797","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001797","All","All","S4","Count",5
"2008-2009","S01001797","All","Male","S4","Count",4
"2008-2009","S01001797","All","Female","S4","Count",5
"2008-2009","S01001797","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001797","All","All","S4","Count",9
"2008-2009","S01001797","All","All","S4","Ratio",90
"2008-2009","S01001797","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001797","All","Male","S4","Ratio",80
"2008-2009","S01001797","All","Female","S4","Ratio",100
"2009-2010","S01001797","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001797","All","Female","S4","Ratio",100
"2009-2010","S01001797","All","Male","S4","Ratio",100
"2009-2010","S01001797","All","All","S4","Count",8
"2009-2010","S01001797","All","Male","S4","Count",3
"2009-2010","S01001797","All","Female","S4","Count",5
"2009-2010","S01001797","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001797","All","All","S4","Ratio",100
"2011-2012","S01001797","All","Male","S4","Ratio",100
"2011-2012","S01001797","All","Female","S4","Count",6
"2011-2012","S01001797","All","All","S4","Ratio",100
"2011-2012","S01001797","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001797","All","Female","S4","Ratio",100
"2011-2012","S01001797","All","All","S4","Count",9
"2011-2012","S01001797","All","Male","S4","Count",3
"2011-2012","S01001797","Additional Support Needs","All","S4","Count",4
"2012-2013","S01001797","All","Female","S4","Ratio",100
"2012-2013","S01001797","All","Female","S4","Count",3
"2012-2013","S01001797","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001797","All","All","S4","Count",9
"2012-2013","S01001797","All","All","S4","Ratio",100
"2012-2013","S01001797","All","Male","S4","Ratio",100
"2012-2013","S01001797","All","Male","S4","Count",6
"2002-2003","S01001797","All","All","S4","Count",6
"2002-2003","S01001797","All","All","S4","Ratio",100
"2003-2004","S01001797","All","All","S4","Ratio",100
"2003-2004","S01001797","All","All","S4","Count",17
"2004-2005","S01001797","All","All","S4","Ratio",100
"2004-2005","S01001797","All","All","S4","Count",3
"2005-2006","S01001797","All","All","S4","Count",9
"2005-2006","S01001797","All","All","S4","Ratio",100
"2006-2007","S01001797","All","All","S4","Ratio","77.8"
"2006-2007","S01001797","All","All","S4","Count",7
"2007-2008","S01001797","All","All","S4","Ratio",80
"2007-2008","S01001797","All","All","S4","Count",4
"2008-2009","S01001798","All","All","S4","Count",6
"2009-2010","S01001798","All","All","S4","Count",5
"2011-2012","S01001798","All","All","S4","Count",6
"2012-2013","S01001798","All","All","S4","Count",4
"2002-2003","S01001798","All","All","S4","Count",6
"2010-2011","S01001798","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001798","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001798","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001798","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001798","Additional Support Needs","All","S4","Count",0
"2003-2004","S01001798","All","All","S4","Count",8
"2004-2005","S01001798","All","All","S4","Count",8
"2005-2006","S01001798","All","All","S4","Count",3
"2006-2007","S01001798","All","All","S4","Count",10
"2007-2008","S01001798","All","All","S4","Count",10
"2010-2011","S01001798","All","Male","S4","Count",3
"2011-2012","S01001798","All","Male","S4","Count",4
"2009-2010","S01001798","All","Male","S4","Count",3
"2008-2009","S01001798","All","Male","S4","Count",1
"2012-2013","S01001798","All","Male","S4","Count",2
"2010-2011","S01001798","All","Female","S4","Count",4
"2012-2013","S01001798","All","Female","S4","Count",2
"2008-2009","S01001798","All","Female","S4","Count",5
"2011-2012","S01001798","All","Female","S4","Count",2
"2009-2010","S01001798","All","Female","S4","Count",2
"2010-2011","S01001798","All","All","S4","Count",7
"2010-2011","S01001798","All","All","S4","Ratio",100
"2012-2013","S01001798","All","Female","S4","Ratio",100
"2005-2006","S01001798","All","All","S4","Ratio",100
"2008-2009","S01001798","All","All","S4","Ratio",100
"2008-2009","S01001798","All","Male","S4","Ratio",100
"2009-2010","S01001798","All","All","S4","Ratio",100
"2006-2007","S01001798","All","All","S4","Ratio","90.9"
"2011-2012","S01001798","All","All","S4","Ratio",100
"2011-2012","S01001798","All","Female","S4","Ratio",100
"2012-2013","S01001798","All","All","S4","Ratio",100
"2007-2008","S01001798","All","All","S4","Ratio",100
"2002-2003","S01001798","All","All","S4","Ratio",100
"2003-2004","S01001798","All","All","S4","Ratio",100
"2010-2011","S01001798","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001798","All","Female","S4","Ratio",100
"2011-2012","S01001798","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001798","All","Female","S4","Ratio",100
"2008-2009","S01001798","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001798","All","Male","S4","Ratio",100
"2009-2010","S01001798","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001798","All","Male","S4","Ratio",100
"2009-2010","S01001798","All","Female","S4","Ratio",100
"2010-2011","S01001798","All","Male","S4","Ratio",100
"2004-2005","S01001798","All","All","S4","Ratio",100
"2012-2013","S01001798","All","Male","S4","Ratio",100
"2005-2006","S01001799","All","All","S4","Count",20
"2010-2011","S01001799","Additional Support Needs","All","S4","Count",0
"2006-2007","S01001799","All","All","S4","Count",22
"2009-2010","S01001799","Additional Support Needs","All","S4","Count",0
"2007-2008","S01001799","All","All","S4","Count",22
"2010-2011","S01001799","All","All","S4","Count",18
"2010-2011","S01001799","All","Male","S4","Count",8
"2012-2013","S01001799","All","All","S4","Count",24
"2011-2012","S01001799","All","Male","S4","Count",14
"2008-2009","S01001799","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001799","Additional Support Needs","All","S4","Count",3
"2009-2010","S01001799","All","Male","S4","Count",7
"2009-2010","S01001799","All","All","S4","Count",14
"2012-2013","S01001799","All","Male","S4","Count",14
"2008-2009","S01001799","All","Male","S4","Count",12
"2011-2012","S01001799","Additional Support Needs","All","S4","Count",5
"2010-2011","S01001799","All","Female","S4","Count",10
"2002-2003","S01001799","All","All","S4","Count",19
"2009-2010","S01001799","All","Female","S4","Count",7
"2008-2009","S01001799","All","All","S4","Count",19
"2012-2013","S01001799","All","Female","S4","Count",10
"2003-2004","S01001799","All","All","S4","Count",15
"2011-2012","S01001799","All","All","S4","Count",19
"2008-2009","S01001799","All","Female","S4","Count",7
"2011-2012","S01001799","All","Female","S4","Count",5
"2004-2005","S01001799","All","All","S4","Count",22
"2010-2011","S01001799","All","All","S4","Ratio","94.7"
"2008-2009","S01001799","All","All","S4","Ratio","73.1"
"2009-2010","S01001799","All","All","S4","Ratio","87.5"
"2011-2012","S01001799","All","All","S4","Ratio","86.4"
"2012-2013","S01001799","All","All","S4","Ratio",96
"2002-2003","S01001799","All","All","S4","Ratio",76
"2010-2011","S01001799","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001799","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001799","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001799","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001799","Additional Support Needs","All","S4","Ratio","83.3"
"2003-2004","S01001799","All","All","S4","Ratio","62.5"
"2004-2005","S01001799","All","All","S4","Ratio","78.6"
"2005-2006","S01001799","All","All","S4","Ratio","90.9"
"2006-2007","S01001799","All","All","S4","Ratio","91.7"
"2007-2008","S01001799","All","All","S4","Ratio","84.6"
"2010-2011","S01001799","All","Male","S4","Ratio",100
"2011-2012","S01001799","All","Male","S4","Ratio","82.4"
"2009-2010","S01001799","All","Male","S4","Ratio","77.8"
"2012-2013","S01001799","All","Male","S4","Ratio","93.3"
"2008-2009","S01001799","All","Male","S4","Ratio",75
"2010-2011","S01001799","All","Female","S4","Ratio","90.9"
"2009-2010","S01001799","All","Female","S4","Ratio",100
"2012-2013","S01001799","All","Female","S4","Ratio",100
"2008-2009","S01001799","All","Female","S4","Ratio",70
"2011-2012","S01001799","All","Female","S4","Ratio",100
"2008-2009","S01001800","All","All","S4","Count",12
"2003-2004","S01001800","All","All","S4","Count",20
"2010-2011","S01001800","All","Male","S4","Ratio",100
"2011-2012","S01001800","All","Male","S4","Ratio",100
"2008-2009","S01001800","All","Male","S4","Ratio",100
"2012-2013","S01001800","All","Male","S4","Ratio",100
"2009-2010","S01001800","All","Male","S4","Ratio",100
